datum;srazka;zavineni;alkohol;nasledek;prilba;pohlavi
2016/09/13 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2016/09/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/04/09 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2017/05/20 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2017/06/26 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2017/07/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/08/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2017/10/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2017/11/04 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2017/12/11 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2018/04/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2018/04/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;žena
2018/05/19 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2018/06/02 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ano;žena
2018/06/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2018/06/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;bez zraněn;ne;chlapec (do 15 let)
2018/06/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;bez zraněn;ne;muž
2018/06/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2018/07/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2018/07/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;žena
2018/10/06 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2019/04/16 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi do 0,24 ‰;lehké zranění;ano;muž
2019/05/15 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2019/05/21 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2019/06/05 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/06/08 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2019/08/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;dívka (do 15 let)
2019/08/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2019/08/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;dívka (do 15 let)
2019/09/27 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2019/10/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2020/04/13 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;muž
2020/05/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ano;muž
2020/07/20 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2020/08/22 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ano;muž
2020/09/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2020/10/28 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2010/04/30 00:00:00+00;srážka s domácím zvířetem;lesní zvěří, domácím zvířectvem;Nezjišťován;bez zraněn;ne;muž
2010/06/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2010/08/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2010/09/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;dívka (do 15 let)
2011/04/20 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2011/05/05 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2011/05/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2011/06/16 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2011/06/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2011/07/11 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem motorového vozidla;Nezjišťován;lehké zranění;ne;žena
2011/09/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2011/09/05 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2011/09/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2012/03/18 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2012/04/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2012/04/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;chlapec (do 15 let)
2012/05/18 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2012/05/18 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2012/07/01 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ne;muž
2012/07/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;bez zraněn;ne;muž
2012/09/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2012/09/18 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2012/10/16 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi do 0,24 ‰;lehké zranění;ne;muž
2012/11/08 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi do 0,24 ‰;lehké zranění;ne;muž
2012/11/10 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2013/05/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;muž
2013/06/18 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰;lehké zranění;ano;žena
2013/06/23 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2013/07/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/07/29 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;jiným účastníkem silničního provozu;Ne;lehké zranění;ne;muž
2013/07/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/08/09 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2013/08/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2013/09/05 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2013/09/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/11/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2013/12/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2014/03/03 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/01/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ne;žena
2014/04/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/04/18 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰;lehké zranění;ano;muž
2014/06/21 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;těžké zranění;ano;žena
2014/06/21 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;dívka (do 15 let)
2014/08/05 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/10/09 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/10/19 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;chlapec (do 15 let)
2015/02/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2015/07/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2015/07/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2015/08/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2016/02/03 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2016/02/09 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;těžké zranění;ne;muž
2016/04/04 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2016/05/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2016/07/19 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2016/09/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;bez zraněn;ano;muž
2016/09/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2016/09/29 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;chlapec (do 15 let)
2017/03/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/05/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/09/07 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2017/12/10 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2018/04/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;těžké zranění;ano;muž
2018/04/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;žena
2018/04/19 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2018/04/20 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2018/06/05 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2018/06/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2018/09/07 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi do 0,24 ‰;lehké zranění;ne;žena
2018/11/02 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ano;muž
2019/02/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/04/19 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ano;muž
2019/05/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/05/30 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/06/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2019/07/01 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2019/07/11 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/08/18 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2019/08/31 00:00:00+00;srážka s chodcem;chodcem;Ne;bez zraněn;ne;muž
2019/09/04 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2019/09/04 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;bez zraněn;ano;muž
2019/10/02 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2019/10/27 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ano;muž
2020/05/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2020/07/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2020/08/10 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2020/09/01 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2010/04/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2010/05/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2010/08/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;žena
2010/08/25 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2011/03/04 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2011/03/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ano;muž
2011/03/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2011/04/18 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2011/05/30 00:00:00+00;jiný druh nehody;chodcem;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ano;muž
2011/06/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰;bez zraněn;ano;žena
2011/06/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰;lehké zranění;ano;muž
2011/06/14 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2011/07/16 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;dívka (do 15 let)
2011/08/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2011/08/31 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2011/09/05 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2011/09/28 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2011/09/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/03/21 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/04/17 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2012/04/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/05/01 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2012/05/06 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰;lehké zranění;ano;muž
2012/06/16 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2012/06/17 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ano;muž
2012/08/04 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi do 0,24 ‰;lehké zranění;ano;žena
2012/08/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰;bez zraněn;ne;muž
2012/08/28 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 0,24‰ do 0,5‰;lehké zranění;ano;muž
2012/10/01 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2012/11/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2012/11/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/02/20 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Nezjišťován;bez zraněn;ano;muž
2013/04/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2013/05/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2013/06/12 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2013/07/21 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/07/30 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2013/08/08 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2013/08/20 00:00:00+00;srážka s chodcem;chodcem;Ne;bez zraněn;ano;muž
2013/10/07 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2013/11/10 00:00:00+00;jiný druh nehody;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2013/12/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2013/12/20 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ano;muž
2014/06/06 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/06/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/06/12 00:00:00+00;jiný druh nehody;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2014/06/28 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;chlapec (do 15 let)
2014/07/21 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;těžké zranění;ano;muž
2014/07/24 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ano;muž
2014/07/26 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;chlapec (do 15 let)
2014/09/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2014/10/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;muž
2014/10/25 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;žena
2015/05/06 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;žena
2015/05/13 00:00:00+00;havárie;řidičem nemotorového vozidla;Nezjišťován;lehké zranění;ne;muž
2015/05/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;muž
2015/05/15 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2015/06/03 00:00:00+00;srážka s chodcem;chodcem;Ne;lehké zranění;ano;žena
2015/06/05 00:00:00+00;srážka s chodcem;chodcem;Ne;bez zraněn;ne;muž
2015/06/16 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2015/06/22 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2015/06/23 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;muž
2015/08/02 00:00:00+00;havárie;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi 1,5‰ a více;lehké zranění;ne;muž
2015/08/24 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ano;žena
2015/09/03 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2015/11/16 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;žena
2016/03/05 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ano, obsah alkoholu v krvi od 1,0‰ do 1,5‰;bez zraněn;ne;muž
2016/04/08 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2016/05/09 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Nezjišťován;lehké zranění;ano;žena
2016/08/29 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem nemotorového vozidla;Nezjišťován;těžké zranění;ano;chlapec (do 15 let)
2016/08/31 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;chlapec (do 15 let)
2016/10/10 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2016/11/07 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ne;muž
2017/03/23 00:00:00+00;srážka s vozidlem zaparkovaným, odstaveným;řidičem nemotorového vozidla;Ne;lehké zranění;ano;muž
2017/03/29 00:00:00+00;havárie;řidičem nemotorového vozidla;Ne;lehké zranění;ne;žena
2017/03/30 00:00:00+00;srážka s chodcem;řidičem nemotorového vozidla;Ne;bez zraněn;ne;muž
2017/05/01 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
2017/05/27 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;těžké zranění;ano;muž
2017/06/14 00:00:00+00;srážka s jedoucím nekolejovým vozidlem;řidičem motorového vozidla;Ne;lehké zranění;ano;muž
